epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.9296,4.84904,7.8924,2.85421,0.00167,0.28571,0.00175,0.00017,4.04236,4.89007,1.09458,8e-05,8e-05,8e-05
2,19.3313,3.96281,5.5445,2.02353,0.005,0.85714,0.03144,0.00662,3.27636,4.08623,4.0321,0.00014436,0.00014436,0.00014436
3,29.1493,3.31588,4.69719,1.90659,0.00583,1,0.18329,0.04976,2.63735,3.86514,4.68407,0.00016912,0.00016912,0.00016912
4,40.7534,2.65082,4.46717,1.75207,0.00583,1,0.50554,0.21598,2.14156,3.6577,5.23794,0.00015428,0.00015428,0.00015428
5,52.1773,2.1136,4.3551,1.62051,0.00583,1,0.5742,0.23632,2.21881,3.70873,4.89175,9.984e-05,9.984e-05,9.984e-05
